"Reward Points","Pontos de recompensa"
"Reward Points History","Histórico de Pontos de Recompensa"
"Expired reward","Recompensa expirada"
"Unlimited","Ilimitado"
"No Data","Sem dados"
"Website","Local na rede Internet"
"Balance","Saldo"
"Currency Amount","Montante da Moeda"
"Reward Points Threshold","Limite de pontos de recompensa"
"Reward Points Cap","Pontos de recompensa"
"Delete Orphan Points","Excluir pontos órfãos"
"Update Reward Points Balance","Atualizar saldo de pontos de recompensa"
"Store","Loja"
"Update Points","Atualizar pontos"
"Enter a negative number to subtract from the balance.","Digite um número negativo para subtrair do saldo."
"Comment","Comente"
"Reward Points Notifications","Notificações de pontos de recompensa"
"Subscribe for Balance Updates","Inscrever-se para atualizações de saldo"
"Subscribe for Points Expiration Notifications","Subscrever Notificações de Expiração de Pontos"
"Reward Exchange Rates","Taxas de Câmbio de Recompensa"
"Add New Rate","Adicionar nova taxa"
"Edit Reward Exchange Rate","Editar taxa de câmbio da recompensa"
"New Reward Exchange Rate","Nova taxa de câmbio de recompensa"
"Reward Exchange Rate Information","Informações sobre Taxa de Câmbio de Recompensa"
"Customer Group","Grupo de clientes"
"Direction","Direção"
"Rate","Taxa"
"Use your reward points; %1 are available.","Use seus pontos de recompensa; %1 estão disponíveis."
"Learn more","Saber mais"
"This applies only to registered users and may vary when a user is logged in.","Isso se aplica somente a usuários registrados e pode variar quando um usuário está logado."
"You removed the orphan points.","Você removeu os pontos órfãos."
"Customers","clientes"
"Manage Reward Exchange Rates","Gerenciar as taxas de câmbio da recompensa"
"You deleted the rate.","Você excluiu a taxa."
"You saved the rate.","Você salvou a taxa."
"We can't save this rate right now.","Não podemos salvar essa taxa agora."
"Please enter all rate information.","Por favor, insira todas as informações sobre tarifas."
"Please enter a positive integer number in the left rate field.","Por favor, insira um número inteiro positivo no campo da taxa da esquerda."
"Please enter a positive number in the right-side rate field.","Por favor, insira um número positivo no campo de taxa do lado direito."
"Please enter a positive integer number in the right-side rate field.","Por favor, insira um número inteiro positivo no campo de taxa do lado direito."
"Please enter a positive number in the left-side rate field.","Por favor, insira um número positivo no campo de taxa do lado esquerdo."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Desculpe, mas a taxa para o mesmo website, grupo de clientes e direção ou taxa de cobertura já existe."
"You removed the reward points from this order.","Você removeu os pontos de recompensa desse pedido."
"Reward points will not be used in this order.","Pontos de recompensa não serão usados ​​nesta ordem."
"Page not found.","Página não encontrada."
"You saved the settings.","Você salvou as configurações."
"You unsubscribed.","Você não está inscrito."
"You can't unsubscribed right now.","Você não pode cancelar agora mesmo."
"%1 Reward points (%2)","%1 pontos de recompensa (%2)"
"%1 Reward points","%1 pontos de recompensa"
"Updated by moderator","Atualizado pelo moderador"
"Refunded from order #%1","Reembolsado do pedido # %1"
"Points voided at order #%1 refund.","Pontos anulados no pedido # %1 de reembolso."
"The invitation to %1 converted into a customer.","O convite para %1 foi convertido em um cliente."
"The invitation to %1 converted into an order.","O convite para %1 foi convertido em um pedido."
"Signed up for newsletter with email %1","Inscreveu-se na newsletter com o email% 1"
"Redeemed for order #%1","Resgatado pelo pedido # %1"
"Earned points for order #%1","Pontos ganhos para o pedido # %1"
"Reverted from incomplete order #%1","Revertido de pedido incompleto # %1"
"Registered as customer","Registrado como cliente"
"For submitting a product review","Para enviar uma análise de produto"
"Earned promotion extra points from order #%1","Ganhou pontos extras de promoção do pedido # %1"
"%1 store reward points available (%2)","%1 pontos de recompensa da loja disponíveis (%2)"
"%1 store reward points available","%1 pontos de recompensa da loja disponíveis"
"%1 was deducted because of refund.","%1 foi deduzido devido ao reembolso."
"The action ID you enter must be a number.","O código de ação inserido deve ser um número."
"You don't have enough reward points to pay for this purchase.","Você não tem pontos de recompensa suficientes para pagar por essa compra."
"Points to Currency","Pontos para Moeda"
"Currency to Points","Moeda para pontos"
"All Customer Groups","Todos os grupos de clientes"
"Static","Estático"
"Dynamic","Dinâmico"
"Each","Cada"
"First","Primeiro"
"All Websites","Todos os sites"
""Minimum Reward Points Balance" should be either a positive number or left empty.","Saldo mínimo de pontos de recompensa deve ser um número positivo ou deixado em branco."
""Cap Reward Points Balance" should be either a positive number or left empty.","Cap Recompensa Pontos Saldo deve ser um número positivo ou deixado em branco."
""Minimum Reward Points Balance" should be less or equal to "Cap Reward Points Balance".","Saldo Mínimo de Pontos de Recompensa deve ser menor ou igual a "Saldo de Pontos de Recompensa"."
"Customer earned promotion extra %1.","Cliente ganhou promoção extra %1."
"The customer earned %1 for this order.","O cliente ganhou %1 para este pedido."
"Reward Points Balance","Saldo de pontos de recompensa"
"upper boundary","limite superior"
"Refund Reward Points","Pontos de recompensa de reembolso"
"Reward Points refunded to customer","Pontos de recompensa reembolsados ​​ao cliente"
"Remove","Remover"
"Back","De volta"
"Balance History","Histórico de Saldo"
"Amount","Montante"
"Points","Pontos"
"Reason","Razão"
"Date","Data"
"Expires on %1","Expira em %1"
"There is no balance history.","Não há histórico de saldo."
"Reward points balance Information","Informações sobre saldo de pontos de recompensa"
"Your balance is %1.","Seu saldo é %1."
"Current exchange rates:","Taxas de câmbio atuais:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 gasto = %2 ganho"
"None","Nenhum"
"Balance limit is %1.","O limite de saldo é %1."
"Maximum balance is reached","O saldo máximo é alcançado"
"Minimum Balance in order to redeem: %1.","Saldo Mínimo para resgatar: %1."
"You need a higher balance to use your rewards points.","Você precisa de um saldo maior para usar seus pontos de recompensa."
"Each earned reward points award expires in %1 days.","Cada prêmio de pontos de recompensa acumulado expira em %1 dia."
"Refer to reward points history to see when a specific record expires.","Consulte o histórico de pontos de recompensa para ver quando um registro específico expira."
"Email Notification Settings","Configurações de notificação por email"
"Save Subscription Settings","Salvar configurações de inscrição"
"Reward Points Balance Updated at %store_name","Saldo de pontos de recompensa atualizado em% store_name"
"%name,","%nome,"
