"Update Items and Qty's","Update Items and Qty's"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"Apply Coupon Code","Apply Coupon Code"
"Remove Coupon Code","Remove Coupon Code"
"Row Subtotal","Row Subtotal"
"No ordered items","No ordered items"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
"Excl. Tax","Excl. Tax"
Total,Total
"Incl. Tax","Incl. Tax"
"Total incl. tax","Total incl. tax"
"Move to Wishlist","Mover para Lista de Desejos"
Item,Item
"Add to Cart","Adicionar ao Carrinho"
Sku,Sku
"Order saving error: %1","Erro ao salvar pedido: %1"
"You created the order.","Você criou o pedido."
Orders,Pedidos
Customer,Cliente
" [deleted]"," [deletado]"
title,title
"Shipping Amount","Total do Envio"
"Tax Amount","Imposto"
"We cannot add this item to your shopping cart.","Não podemos adicionar este item para o seu carrinho."
N/A,N/A
Ordered,Pedido
Invoiced,Faturado
Shipped,Enviado
Refunded,Devolvido
Canceled,Cancelado
Closed,Fechado
From:,De:
To:,Para:
"Gift Message","Mensagem do Presente"
Message:,Mensagem:
"Tier Pricing","Tier Pricing"
"Go to Home Page","Vá à Pagina Principal"
"Discount Amount","Desconto"
"Payment Information","Pagamento"
"Shipping Information","Frete"
"Shipping & Handling Information","Frete"
"Shipping Method","Forma de Envio"
"Clear Shopping Cart","Limpar Carrinho"
Address,Endereço
Telephone,Telefone
"Save in address book","Guardar no livro de endereços"
Continue,Continue
"Order #","Pedido #"
"Payment Method","Forma de Pagamento"
Sales,Vendas
Comment,Comment
%1,%1
"Purchase Date","Data da Compra"
"Bill-to Name","Cobrança Para"
"Ship-to Name","Enviar Para"
"Order Total","Total"
"Purchase Point","Loja"
"Recent Orders","Compras Recentes"
Notified,Notificado
"Notify Customer by Email","Notificar Cliente por Email"
Billing,Billing
"Order Status","Status de Pedido"
"View Order","Ver Pedido"
Amount,Acumulado
Message,Mensagem
Information,Information
"Gift Options","Opçoes de presente"
"Gift options","Opçoes de presente"
"If you don't want to leave a gift message for the entire order, leave this box blank.","Se você não deseja deixar uma mensagem para todo o pedido, deixe este campo em branco."
New,Novo
"Custom Price","Personalizar Preço"
Processing,Processando
Pending,Pendente
"Add To Order","Adicionar ao Pedido"
"Configure and Add to Order","Configurar e Adicionar ao Pedido"
"No items","Nenhum Itens"
Authorization,"Autorização"
"Ordered amount of %1","Quantidade encomendada de %1"
"Payment transactions disallow storing objects.","Transações de pagamento desautoriza armazenamento de objetos"
"Transaction ID","ID da Transação"
"Order ID","Número do Pedido"
Void,"Vazio"
"Created At","Criado Em"
"Payment Method:","Forma de Pagamento:"
"Ship To","Enviar para"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","Total Cobrado"
"Grand Total (Purchased)","Total Pago"
"Customer Name","Cliente"
"We couldn't update the payment.","Não conseguimos atualizar o pagamento"
"Shopping Cart Price Rule","Regra de Preço do Carrinho"
CSV,CSV
"Excel XML","Excel XML"
"Total Refunded","Total Devolvido"
Paid,Pago
Coupons,Cupons
Print,Imprimir
"Submit Comment","Enviar"
Returned,Returned
"Order Date","Data"
"Order # ","Pedido # "
"Order Date: ","Data do Pedido: "
"Comment Text","Tesxto do Comentário"
"Visible on Frontend","Visível no Frontend"
"Not Notified","Não Notificado"
"Please select products.","Por favor, selecione os produtos."
Number,Number
"Order Date: %1","Data do Pedido: %1"
"Shipping &amp; Handling","Entrega &amp; Manuseio"
"Credit Memos","Reembolsos"
Invoices,Faturas
"We cannot get the order instance.","Não conseguimos obter a instância do pedido."
"Create New Order","Criar Pedido"
"Save Order Address","Salvar Endereço do Pedido"
"Edit Order %1 %2 Address","Editar Endereço %1 %2 do Pedido"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Enviar Pedido"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar esse pedido?"
"Order Comment","Comentario de Pedido"
"Please select a customer.","Por favor, selecione um cliente."
"Create New Customer","Criar Novo Cliente"
"Edit Order #%1","Editar Pedido #%1"
"Create New Order for %1 in %2","Criar Novo Pedido para %1 em %2"
"Create New Order for New Customer in %1","Criar Novo Pedido para Cliente Novo em %1"
"Create New Order for %1","Criar Novo Pedido para %1"
"Create New Order for New Customer","Criar Novo Pedido for Cliente Novo"
"Items Ordered","Itens Comprados"
"This product is disabled.","Este produto está desativado."
"Buy %1 for price %2","Comprar %1 pelo preço %2"
"Item ordered qty","Qtd de Item Pedido"
"%1 with %2 discount each","%1 com %2 de desconto cada"
"%1 for %2","%1 para %2"
"* - Enter custom price including tax","* - Insira um preço personalizado incluindo a taxa"
"* - Enter custom price excluding tax","* - Insira um preço personalizado excluindo a taxa"
"This product does not have any configurable options","Este produto não possui opções configuráveis."
"Add Selected Product(s) to Order","Adicionar Produtos Configuraveis ao Pedido"
"Update Changes","Atualizar Alterações"
"Are you sure you want to delete all items from shopping cart?","Você tem certza que deseja remover todos os itens do carrinho?"
"Products in Comparison List","Produtos na Lista de Comparação"
"Last Ordered Items","Ultimos Itens Encomendados"
"Please select a store.","Por favor, selecione uma loja."
"Order Totals","Totais"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","Novo Nota de Crédito para Fatura #%1"
"New Credit Memo for Order #%1","Novo Nota de Crédito pro Pedido #%1"
"Refund Shipping (Incl. Tax)","Envio de Reembolso (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Envio de Reembolso (Excl. Tax)"
"Refund Shipping","Envio de Reembolso"
"Update Qty's","Atualizar Quantidades"
Refund,"Reembolso"
"Refund Offline","Reembolso Offline"
"Paid Amount","Quantidade Paga"
"Refund Amount","Quantidade de Reembolso"
"Shipping Refund","Reembolso de Frete"
"Order Grand Total","Total do Pedido"
"Adjustment Refund","Reembolso de Ajustes"
"Adjustment Fee","Taxa de Reembolso"
"Send Email","Enviar Email"
"Are you sure you want to send a Credit memo email to customer?","Você tem certeza que deseja enviar um email de nota de crédito ao consumidor?"
"The credit memo email was sent","O email de nota de crédito foi enviado"
"the credit memo email is not sent","o email de nota de crédito não foi enviado"
"Credit Memo #%1 | %3 | %2 (%4)","Nota de Crédito #%1 | %3 | %2 (%4)"
"Total Refund","Reembolso Total"
"New Invoice and Shipment for Order #%1","Nova Fatura e Envio pro Pedido #%1"
"New Invoice for Order #%1","Nova Fatura pro Pedido #%1"
"Submit Invoice and Shipment","Enviar Fatura e Frete"
"Submit Invoice","Criar Fatura"
"Are you sure you want to send an Invoice email to customer?","Você tem certeza que deseja enviar um e-mail com a Fatura para o cliente?"
"Credit Memo","Reembolso"
Capture,Capturar
"the invoice email was sent","o e-mail com a fatura foi enviado"
"the invoice email is not sent","o e-mail com a fatura não foi enviado"
"Invoice #%1 | %2 | %4 (%3)","Fatura #%1 | %2 | %4 (%3)"
"Order Statuses","Status do Pedido"
"Create New Status","Criar Nono Status"
"Assign Status to State","Atribuir Status ao Estado"
"Save Status Assignment","Salvar Atribuição de Status"
"Assign Order Status to State",""Atribuir Status do Pedido ao Estado"
"Assignment Information","Informação de Atribuição"
"Order State","Estado do Pedido"
"Use Order Status As Default","Usar Status do Pedido como Padrão"
"Visible On Frontend","Visível no Frontend"
"Edit Order Status","Editar Status do Pedido"
"Save Status","Salvar Status"
"New Order Status","Novo Pedido Status"
"Order Status Information","Order Status Information"
"Status Code","Código do Status"
"Status Label","Etique do Status"
"Store View Specific Labels","Título específico para loja"
"Total Paid","Total Pago"
"Total Due","Total Devido"
"Are you sure you want to send an order email to customer?","Você tem certeza que deseja enviar um email sobre o pedido ao cliente?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Isso irá criar m reembolso offilne. ' 'Para criar um reembolso online, abra uma fatura e crie um nota para isso. Você deseja continuar?"
"Are you sure you want to void the payment?","Você tem certeza que deseja anular o pagamento?"
Hold,Segurar
hold,segurar
Unhold,Liberar
unhold,liberar
"Are you sure you want to accept this payment?","Você tem certeza que deseja aceitar este pagamento?"
"Accept Payment","Accept Payment"
"Are you sure you want to deny this payment?","Você tem certeza que deseja recusar este pagamento?"
"Deny Payment","Negar Pagamento"
"Get Payment Update","Obter Pagamento Atualizado"
"Invoice and Ship","Fatura e Envio"
Invoice,Fatura
Ship,Envio
Reorder,Recomprar
"Order # %1 %2 | %3","Pedido # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","Este pedido contém (%1) itens, sendo assim não pode  ser editado atravé da interface adminstrativa. ' 'Se você deseja continuar editando, o(s) (%2) item(s) serão removidos, ' ' o pedido será cancelado e um novo pedido será efetuado."
"Are you sure? This order will be canceled and a new one will be created instead.","Você tem certeza? Este pedido será cancelado e um novo será criado no lugar."
"Save Gift Message","Salvar Mensagem de Presente"
"Order Credit Memos","Notas de Crédito do Pedido"
"Credit memo #%1 created","Reembolso criado - nº %1"
"Credit memo #%1 comment added","Comentário adicionado ao Reembolso %1"
"Shipment #%1 created","Envio criado - nº %1"
"Shipment #%1 comment added","Comentário adicionado ao Envio %1"
"Invoice #%1 created","Fatura criada - nº %1"
"Invoice #%1 comment added","Comentário adicionado a Fatura %1"
"Tracking number %1 for %2 assigned","Número de rastreio adicionado: %1 (%2)"
"Comments History","Histórico"
"Order History","Histórico de Pedido"
"Order Information","Informações do Pedido"
"Order Invoices","Faturas de Pedido"
Shipments,Envios
"Order Shipments","Envios de Pedido"
Transactions,Transações
"Order View","Detalhes do Pedido"
"Applies to Any of the Specified Order Statuses","Aplicar a qualquer dos status de pedido especificados"
"Show Actual Values","Exibir Valores Atuais"
Fetch,Fetch
"Transaction # %1 | %2","Transação # %1 | %2"
Key,Chave
Value,Valor
"We found an invalid entity model.","Encontramos um modelo de entidade inválida."
"Order # %1","Pedido # %1"
